Order Date,Category,Sub-Category,Region,Sales,Profit,Quantity,Year,Month
2017-10-19,Office Supplies,Paper,Central,29.472,9.9468,3,2017,10
2016-12-08,Technology,Phones,Central,1097.544,123.4737,7,2016,12
2016-12-08,Furniture,Furnishings,Central,190.92,-147.963,5,2016,12
2015-12-27,Office Supplies,Envelopes,Central,113.328,35.415,9,2015,12
2015-12-27,Furniture,Bookcases,Central,532.3992,-46.9764,3,2015,12
2015-12-27,Furniture,Chairs,Central,212.058,-15.147,3,2015,12
2015-12-27,Technology,Phones,Central,371.168,41.7564,4,2015,12
2017-09-10,Technology,Phones,Central,147.168,16.5564,4,2017,9
2016-07-17,Office Supplies,Storage,West,77.88,3.894,2,2016,7
2017-09-19,Office Supplies,Storage,South,95.616,9.5616,2,2017,9
2016-03-11,Technology,Accessories,Central,45.98,19.7714,2,2016,3
2016-03-11,Office Supplies,Binders,Central,17.46,8.2062,2,2016,3
2014-10-20,Office Supplies,Storage,Central,211.96,8.4784,4,2014,10
2016-06-20,Technology,Accessories,East,45.0,4.95,3,2016,6
2016-06-20,Technology,Phones,East,21.8,6.104,2,2016,6
2015-04-18,Office Supplies,Binders,Central,38.22,17.9634,6,2015,4
2015-04-18,Office Supplies,Labels,Central,75.18,35.3346,6,2015,4
2015-04-18,Furniture,Furnishings,Central,6.16,2.9568,2,2015,4
2015-04-18,Furniture,Chairs,Central,89.99,17.0981,1,2015,4
2016-12-11,Office Supplies,Fasteners,East,15.26,6.2566,7,2016,12
2016-12-11,Technology,Phones,East,1029.95,298.6855,5,2016,12
2016-06-17,Office Supplies,Storage,East,208.56,52.14,6,2016,6
2016-06-17,Office Supplies,Paper,East,32.4,15.552,5,2016,6
2016-06-17,Furniture,Chairs,East,319.41,7.098,5,2016,6
2016-06-17,Office Supplies,Paper,East,14.56,6.9888,2,2016,6
2016-06-17,Technology,Accessories,East,30.0,3.3,2,2016,6
2016-06-17,Office Supplies,Binders,East,48.48,16.362,4,2016,6
2016-06-17,Office Supplies,Art,East,1.68,0.84,1,2016,6
2015-11-24,Technology,Accessories,West,13.98,6.1512,2,2015,11
2015-11-24,Office Supplies,Binders,West,25.824,9.3612,6,2015,11
2015-11-24,Office Supplies,Paper,West,146.73,68.9631,3,2015,11
2015-11-24,Furniture,Furnishings,West,79.76,22.3328,4,2015,11
2015-04-30,Furniture,Chairs,Central,213.115,-15.2225,5,2015,4
2014-12-05,Office Supplies,Art,West,1113.024,111.3024,8,2014,12
2014-12-05,Technology,Phones,West,167.968,62.988,4,2014,12
2016-06-04,Office Supplies,Paper,South,75.88,35.6636,2,2016,6
2016-09-18,Office Supplies,Binders,East,4.616,1.731,1,2016,9
2017-09-14,Office Supplies,Paper,Central,19.05,8.763,3,2017,9
2015-04-26,Furniture,Chairs,South,831.936,-114.3912,8,2015,4
2015-04-26,Furniture,Furnishings,South,97.04,1.213,2,2015,4
2015-04-26,Office Supplies,Storage,South,72.784,-18.196,1,2015,4
2017-12-09,Office Supplies,Binders,Central,1.248,-1.9344,3,2017,12
2017-12-09,Furniture,Furnishings,Central,9.708,-5.8248,3,2017,12
2017-12-09,Office Supplies,Storage,Central,27.24,2.724,3,2017,12
2014-11-26,Furniture,Furnishings,Central,19.3,-14.475,5,2014,11
2016-06-12,Office Supplies,Appliances,South,208.16,56.2032,1,2016,6
2016-06-12,Office Supplies,Binders,South,16.74,8.0352,3,2016,6
2014-10-12,Office Supplies,Art,West,14.9,4.172,5,2014,10
2014-10-12,Office Supplies,Storage,West,21.39,6.2031,1,2014,10
2015-09-03,Office Supplies,Envelopes,South,200.984,62.8075,7,2015,9
2017-11-13,Office Supplies,Storage,Central,230.376,-48.9549,3,2017,11
2017-05-28,Furniture,Chairs,South,301.96,33.2156,2,2017,5
2017-10-26,Technology,Accessories,Central,19.99,6.7966,1,2017,10
2017-10-26,Office Supplies,Labels,Central,6.16,2.9568,2,2017,10
2016-04-05,Office Supplies,Storage,Central,158.368,13.8572,7,2016,4
2016-09-17,Office Supplies,Art,West,20.1,6.633,3,2016,9
2016-09-17,Technology,Phones,West,73.584,8.2782,2,2016,9
2016-09-17,Office Supplies,Paper,West,6.48,3.1104,1,2016,9
2015-01-31,Office Supplies,Paper,Central,12.96,6.2208,2,2015,1
2015-01-31,Furniture,Furnishings,Central,53.34,16.5354,3,2015,1
2015-01-31,Office Supplies,Binders,Central,32.96,16.1504,2,2015,1
2017-11-06,Office Supplies,Binders,West,5.682,-3.788,1,2017,11
2017-11-09,Furniture,Furnishings,East,96.53,40.5426,7,2017,11
2017-06-17,Office Supplies,Binders,West,51.312,17.9592,3,2017,6
2016-09-06,Office Supplies,Appliances,Central,77.88,22.5852,6,2016,9
2016-08-29,Office Supplies,Paper,Central,64.624,22.6184,7,2016,8
2016-08-29,Technology,Accessories,Central,95.976,-10.7973,3,2016,8
2016-08-29,Office Supplies,Binders,Central,1.788,-3.0396,3,2016,8
2016-12-01,Office Supplies,Paper,Central,23.92,11.7208,4,2016,12
2015-11-13,Technology,Accessories,West,238.896,-26.8758,6,2015,11
2015-11-13,Furniture,Furnishings,West,102.36,-3.8385,3,2015,11
2015-11-13,Office Supplies,Binders,West,36.882,-25.8174,3,2015,11
2017-11-23,Technology,Accessories,South,74.112,17.6016,8,2017,11
2017-11-23,Technology,Phones,South,27.992,2.0994,1,2017,11
2017-11-23,Office Supplies,Art,South,3.304,1.0738,1,2017,11
2015-10-15,Technology,Accessories,Central,339.96,67.992,5,2015,10
2017-12-25,Furniture,Furnishings,East,41.96,10.9096,2,2017,12
2016-11-03,Office Supplies,Art,Central,75.96,22.788,2,2016,11
2016-11-03,Office Supplies,Binders,Central,27.24,13.3476,6,2016,11
2014-08-25,Office Supplies,Fasteners,East,40.096,14.5348,14,2014,8
2014-08-25,Office Supplies,Envelopes,East,4.72,1.652,2,2014,8
2014-08-25,Office Supplies,Paper,East,23.976,7.4925,3,2014,8
2014-08-25,Office Supplies,Envelopes,East,130.464,44.0316,6,2014,8
2015-03-02,Furniture,Tables,West,787.53,165.3813,3,2015,3
2015-04-05,Office Supplies,Binders,South,157.794,-115.7156,1,2015,4
2016-06-12,Furniture,Furnishings,East,47.04,18.3456,3,2016,6
2016-06-12,Office Supplies,Binders,East,30.84,13.878,4,2016,6
2016-06-12,Office Supplies,Storage,East,226.56,63.4368,6,2016,6
2016-06-12,Office Supplies,Envelopes,East,115.02,51.759,9,2016,6
2016-06-12,Technology,Phones,East,68.04,19.7316,7,2016,6
2014-12-26,Furniture,Chairs,Central,600.558,-8.5794,3,2014,12
2014-09-20,Furniture,Tables,Central,617.7,-407.682,6,2014,9
2017-11-05,Office Supplies,Binders,West,2.388,-1.8308,2,2017,11
2017-11-05,Office Supplies,Storage,West,243.992,30.499,7,2017,11
2016-11-06,Furniture,Chairs,West,81.424,-9.1602,2,2016,11
2016-11-06,Furniture,Furnishings,West,238.56,26.2416,3,2016,11
2017-02-02,Technology,Phones,East,59.97,-11.994,5,2017,2
2017-02-02,Office Supplies,Paper,East,78.304,29.364,2,2017,2
2017-02-02,Office Supplies,Fasteners,East,21.456,6.9732,9,2017,2
2016-10-13,Office Supplies,Paper,West,20.04,9.6192,3,2016,10
2016-10-13,Office Supplies,Paper,West,35.44,16.6568,1,2016,10
2016-10-13,Office Supplies,Art,West,11.52,3.456,4,2016,10
2016-10-13,Office Supplies,Fasteners,West,4.02,1.9698,2,2016,10
2016-10-13,Office Supplies,Binders,West,76.176,26.6616,3,2016,10
2016-10-13,Office Supplies,Supplies,West,65.88,18.4464,6,2016,10
2016-10-13,Furniture,Furnishings,West,43.12,20.6976,14,2016,10
2016-09-05,Furniture,Furnishings,East,82.8,10.35,2,2016,9
2017-09-18,Office Supplies,Art,West,8.82,2.3814,3,2017,9
2017-09-18,Office Supplies,Envelopes,West,10.86,5.1042,3,2017,9
2017-09-18,Office Supplies,Paper,West,143.7,68.976,3,2017,9
2017-12-22,Office Supplies,Appliances,Central,839.43,218.2518,3,2017,12
2015-09-07,Office Supplies,Storage,West,671.93,20.1579,7,2015,9
2014-10-22,Furniture,Furnishings,East,93.888,12.9096,4,2014,10
2016-12-05,Technology,Phones,Central,384.45,103.8015,11,2016,12
2016-12-05,Technology,Phones,Central,149.97,5.9988,3,2016,12
2016-12-05,Furniture,Chairs,Central,1951.84,585.552,8,2016,12
2016-12-05,Office Supplies,Binders,Central,171.55,80.6285,5,2016,12
2016-03-13,Office Supplies,Appliances,West,157.92,17.766,5,2016,3
2016-03-13,Technology,Phones,West,203.184,15.2388,2,2016,3
2015-05-31,Office Supplies,Paper,West,58.38,26.271,7,2015,5
2015-05-31,Office Supplies,Paper,West,105.52,48.5392,4,2015,5
2015-05-31,Office Supplies,Storage,West,80.88,21.0288,6,2015,5
2015-05-28,Office Supplies,Art,West,6.63,1.7901,3,2015,5
2014-03-01,Furniture,Chairs,West,457.568,51.4764,2,2014,3
2016-11-20,Office Supplies,Labels,Central,14.62,6.8714,2,2016,11
2016-11-20,Technology,Phones,Central,944.93,236.2325,7,2016,11
2016-05-11,Office Supplies,Paper,West,5.98,2.691,1,2016,5
2015-12-28,Technology,Accessories,East,54.384,1.3596,2,2015,12
2016-11-16,Office Supplies,Envelopes,West,28.4,13.348,5,2016,11
2016-11-07,Office Supplies,Binders,West,27.68,9.688,2,2016,11
2014-09-08,Office Supplies,Art,Central,9.936,2.7324,3,2014,9
2014-09-08,Technology,Machines,Central,8159.952,-1359.992,8,2014,9
2014-09-08,Office Supplies,Storage,Central,275.928,-58.6347,3,2014,9
2014-09-08,Furniture,Chairs,Central,1740.06,-24.858,9,2014,9
2014-09-08,Office Supplies,Art,Central,32.064,6.8136,6,2014,9
2014-09-08,Office Supplies,Appliances,Central,177.98,-453.849,5,2014,9
2014-09-08,Technology,Phones,Central,143.976,8.9985,3,2014,9
2014-08-05,Office Supplies,Paper,West,20.94,9.8418,3,2014,8
2014-08-05,Office Supplies,Paper,West,110.96,53.2608,2,2014,8
2014-08-05,Furniture,Chairs,West,340.144,21.259,7,2014,8
2014-09-14,Office Supplies,Appliances,Central,52.448,-131.12,2,2014,9
2014-09-14,Office Supplies,Labels,Central,20.16,6.552,4,2014,9
2017-04-21,Office Supplies,Appliances,Central,97.264,-243.16,4,2017,4
2015-11-21,Furniture,Chairs,East,396.802,-11.3372,7,2015,11
2015-11-21,Office Supplies,Supplies,East,15.88,-3.7715,5,2015,11
2015-12-15,Office Supplies,Art,East,3.28,1.4104,1,2015,12
2014-12-05,Office Supplies,Storage,Central,24.816,1.8612,2,2014,12
2014-12-05,Technology,Accessories,Central,408.744,76.6395,7,2014,12
2014-11-19,Technology,Phones,South,503.96,131.0296,4,2014,11
2014-11-19,Technology,Phones,South,149.95,41.986,5,2014,11
2014-11-19,Technology,Accessories,South,29.0,7.25,2,2014,11
2016-11-28,Office Supplies,Binders,East,7.16,3.4368,2,2016,11
2014-08-26,Technology,Accessories,West,176.8,22.984,8,2014,8
2016-07-16,Office Supplies,Storage,Central,37.224,3.7224,3,2016,7
2016-07-16,Office Supplies,Paper,Central,20.016,6.255,3,2016,7
2015-10-12,Furniture,Bookcases,East,899.136,112.392,4,2015,10
2015-10-12,Technology,Phones,East,71.76,20.0928,6,2015,10
2015-10-12,Office Supplies,Paper,East,51.84,24.8832,8,2015,10
2015-10-12,Furniture,Bookcases,East,626.352,46.9764,3,2015,10
2015-10-12,Office Supplies,Art,East,19.9,6.567,5,2015,10
2015-10-31,Office Supplies,Envelopes,West,14.28,6.7116,7,2015,10
2014-03-21,Office Supplies,Art,East,7.408,1.2038,2,2014,3
2014-03-21,Office Supplies,Art,East,6.048,1.5876,3,2014,3
2017-11-06,Office Supplies,Storage,East,46.26,12.0276,3,2017,11
2017-07-06,Office Supplies,Binders,East,2.946,-2.2586,2,2017,7
2017-07-06,Office Supplies,Paper,East,16.056,5.8203,3,2017,7
2017-06-24,Office Supplies,Paper,East,21.744,6.795,3,2017,6
2014-08-03,Furniture,Tables,West,218.75,-161.875,2,2014,8
2014-08-03,Office Supplies,Appliances,West,2.6,0.2925,1,2014,8
2017-12-17,Office Supplies,Appliances,Central,66.284,-178.9668,2,2017,12
2017-06-03,Furniture,Furnishings,South,35.168,9.6712,7,2017,6
2017-12-09,Technology,Phones,West,444.768,44.4768,4,2017,12
2017-12-01,Office Supplies,Storage,Central,83.92,5.8744,4,2017,12
2017-12-01,Technology,Phones,Central,131.98,35.6346,2,2017,12
2017-12-01,Office Supplies,Binders,Central,15.92,7.4824,4,2017,12
2017-12-01,Office Supplies,Fasteners,Central,52.29,16.2099,9,2017,12
2017-12-01,Office Supplies,Storage,Central,91.99,3.6796,1,2017,12
2015-02-09,Technology,Accessories,Central,20.8,6.5,2,2015,2
2015-01-02,Office Supplies,Labels,East,23.68,8.88,2,2015,1
2015-01-02,Furniture,Bookcases,East,452.45,-244.323,5,2015,1
2015-01-02,Technology,Phones,East,62.982,-14.6958,3,2015,1
2015-01-02,Technology,Machines,East,1188.0,-950.4,9,2015,1
2015-01-02,Technology,Accessories,East,89.584,4.4792,2,2015,1
2016-10-28,Office Supplies,Storage,West,93.06,26.0568,6,2016,10
2016-10-28,Technology,Phones,West,302.376,22.6782,3,2016,10
2015-12-24,Office Supplies,Fasteners,East,5.584,1.8148,2,2015,12
2015-12-24,Office Supplies,Paper,East,22.704,8.2302,6,2015,12
2015-12-24,Office Supplies,Binders,East,19.776,-13.8432,4,2015,12
2015-12-24,Furniture,Furnishings,East,72.704,19.0848,4,2015,12
2015-12-24,Technology,Machines,East,479.988,-383.9904,4,2015,12
2015-12-24,Office Supplies,Art,East,27.168,2.7168,2,2015,12
2015-08-09,Office Supplies,Art,Central,2.2,0.968,1,2015,8
2015-08-09,Furniture,Tables,Central,622.45,136.939,5,2015,8
2015-08-09,Office Supplies,Storage,Central,21.98,0.2198,1,2015,8
2015-02-28,Furniture,Chairs,South,161.568,-28.2744,2,2015,2
2015-02-28,Furniture,Chairs,South,389.696,43.8408,8,2015,2
2014-09-13,Office Supplies,Binders,South,18.648,-12.432,7,2014,9
2017-04-07,Furniture,Tables,South,233.86,-102.048,2,2017,4
2017-04-07,Furniture,Tables,South,620.6145,-248.2458,3,2017,4
2017-04-07,Office Supplies,Binders,South,5.328,-3.552,2,2017,4
2017-04-07,Furniture,Furnishings,South,258.072,0.0,3,2017,4
2017-04-07,Technology,Accessories,South,617.976,-7.7247,3,2017,4
2017-11-12,Office Supplies,Paper,West,10.56,4.752,2,2017,11
2016-06-04,Office Supplies,Paper,Central,25.92,9.396,5,2016,6
2016-06-04,Furniture,Furnishings,Central,419.68,-356.728,5,2016,6
2016-06-04,Furniture,Furnishings,Central,11.688,-4.6752,3,2016,6
2016-06-04,Technology,Phones,Central,31.984,11.1944,2,2016,6
2016-06-04,Furniture,Tables,Central,177.225,-120.513,5,2016,6
2016-06-04,Furniture,Furnishings,Central,4.044,-2.8308,3,2016,6
2016-06-04,Office Supplies,Art,Central,7.408,1.2038,2,2016,6
2014-06-01,Furniture,Chairs,Central,2001.86,580.5394,7,2014,6
2014-06-01,Office Supplies,Storage,Central,166.72,41.68,2,2014,6
2014-06-01,Office Supplies,Paper,Central,47.88,23.94,6,2014,6
2014-06-01,Office Supplies,Appliances,Central,1503.25,496.0725,5,2014,6
2014-06-01,Office Supplies,Paper,Central,25.92,12.4416,4,2014,6
2016-12-10,Furniture,Chairs,West,321.568,28.1372,2,2016,12
2016-09-11,Office Supplies,Paper,West,7.61,3.5767,1,2016,9
2016-09-11,Technology,Accessories,West,3347.37,636.0003,13,2016,9
2016-12-10,Office Supplies,Storage,East,80.58,22.5624,6,2016,12
2016-12-10,Office Supplies,Envelopes,East,361.92,162.864,4,2016,12
2015-11-28,Furniture,Furnishings,Central,12.132,-8.4924,9,2015,11
2015-11-28,Office Supplies,Storage,Central,82.368,-19.5624,2,2015,11
2015-11-28,Office Supplies,Storage,Central,53.92,4.044,5,2015,11
2015-11-28,Technology,Phones,Central,647.904,56.6916,6,2015,11
2017-12-01,Technology,Accessories,East,20.37,6.9258,3,2017,12
2017-12-01,Office Supplies,Storage,East,221.55,6.6465,3,2017,12
2017-12-01,Office Supplies,Binders,East,17.52,6.132,5,2017,12
2017-06-08,Office Supplies,Appliances,Central,1.624,-4.466,2,2017,6
2014-09-19,Technology,Machines,Central,3059.982,-509.997,3,2014,9
2014-09-19,Technology,Machines,Central,2519.958,-251.9958,7,2014,9
2016-06-06,Technology,Phones,Central,328.224,28.7196,4,2016,6
2015-11-10,Technology,Accessories,West,79.9,35.156,2,2015,11
2017-06-16,Office Supplies,Art,South,14.016,4.7304,3,2017,6
2016-01-22,Office Supplies,Fasteners,East,7.56,0.3024,6,2016,1
2017-12-09,Office Supplies,Storage,East,37.208,-7.4416,1,2017,12
2017-12-09,Office Supplies,Envelopes,East,57.576,21.591,3,2017,12
2017-12-28,Office Supplies,Storage,West,725.84,210.4936,4,2017,12
2015-07-30,Technology,Accessories,West,209.93,92.3692,7,2015,7
2015-07-30,Furniture,Furnishings,West,5.28,2.3232,3,2015,7
2015-07-30,Office Supplies,Binders,West,10.92,4.095,3,2015,7
2017-09-16,Office Supplies,Paper,West,8.82,4.0572,2,2017,9
2017-09-16,Office Supplies,Art,West,5.98,1.5548,1,2017,9
2017-10-13,Office Supplies,Paper,East,11.648,4.0768,2,2017,10
2017-10-13,Office Supplies,Paper,East,18.176,5.9072,4,2017,10
2017-10-13,Office Supplies,Storage,East,59.712,5.9712,6,2017,10
2017-10-13,Office Supplies,Labels,East,24.84,8.694,3,2017,10
2015-09-26,Office Supplies,Binders,Central,2.08,-3.432,5,2015,9
2015-09-26,Technology,Phones,Central,1114.4,376.11,7,2015,9
2015-11-02,Furniture,Tables,West,1038.84,51.942,5,2015,11
2015-09-26,Office Supplies,Paper,West,141.76,47.844,5,2015,9
2015-09-26,Technology,Accessories,West,239.8,47.96,5,2015,9
2015-09-26,Office Supplies,Paper,West,31.104,10.8864,6,2015,9
2016-12-18,Office Supplies,Binders,South,254.058,-169.372,7,2016,12
2016-12-18,Office Supplies,Appliances,South,194.528,24.316,2,2016,12
2016-12-18,Office Supplies,Supplies,South,961.48,-204.3145,5,2016,12
2016-11-20,Office Supplies,Fasteners,East,19.096,6.6836,7,2016,11
2016-11-20,Office Supplies,Labels,East,18.496,6.2424,8,2016,11
2016-11-20,Technology,Accessories,East,255.984,54.3966,2,2016,11
2016-11-20,Furniture,Bookcases,East,86.97,-48.7032,3,2016,11
2014-12-26,Furniture,Furnishings,West,300.416,78.8592,8,2014,12
2014-12-26,Furniture,Chairs,West,230.352,20.1558,3,2014,12
2014-12-26,Furniture,Furnishings,West,218.352,-24.5646,3,2014,12
2014-12-26,Office Supplies,Binders,West,78.6,-62.88,5,2014,12
2014-12-26,Office Supplies,Fasteners,West,27.552,9.2988,3,2014,12
2016-10-28,Office Supplies,Paper,East,32.4,15.552,5,2016,10
2016-10-28,Office Supplies,Storage,East,1082.48,10.8248,8,2016,10
2016-10-28,Office Supplies,Paper,East,56.91,27.3168,3,2016,10
2016-10-28,Furniture,Furnishings,East,77.6,38.024,4,2016,10
2016-10-28,Office Supplies,Binders,East,14.28,6.5688,1,2016,10
2017-11-19,Furniture,Tables,Central,219.075,-131.445,3,2017,11
2015-05-04,Furniture,Furnishings,East,26.8,12.864,2,2015,5
2014-12-30,Office Supplies,Art,Central,9.84,2.8536,3,2014,12
2014-06-01,Office Supplies,Binders,East,45.48,20.9208,3,2014,6
2014-06-01,Office Supplies,Art,East,289.2,83.868,6,2014,6
2017-04-15,Office Supplies,Art,South,4.89,2.0049,1,2017,4
2016-09-12,Furniture,Furnishings,West,15.136,3.5948,4,2016,9
2016-09-12,Furniture,Chairs,West,466.768,52.5114,2,2016,9
2016-09-12,Furniture,Furnishings,West,15.232,1.7136,1,2016,9
2016-09-12,Office Supplies,Labels,West,6.264,2.0358,3,2016,9
2014-09-27,Furniture,Furnishings,East,87.54,37.6422,3,2014,9
2014-08-09,Technology,Phones,South,178.384,22.298,2,2014,8
2014-08-09,Office Supplies,Paper,South,15.552,5.4432,3,2014,8
2014-12-28,Office Supplies,Art,East,99.136,8.6744,4,2014,12
2014-11-04,Furniture,Chairs,East,135.882,24.1568,1,2014,11
2014-11-04,Technology,Machines,East,3991.98,1995.99,2,2014,11
2014-11-04,Technology,Phones,East,275.94,80.0226,6,2014,11
2014-11-04,Technology,Accessories,East,360.0,129.6,4,2014,11
2014-11-04,Office Supplies,Storage,East,43.57,13.071,1,2014,11
2014-09-19,Office Supplies,Fasteners,West,7.16,3.58,2,2014,9
2016-04-23,Office Supplies,Binders,West,251.52,81.744,6,2016,4
2016-04-23,Technology,Accessories,West,99.99,34.9965,1,2016,4
2017-11-03,Furniture,Furnishings,South,15.992,0.9995,1,2017,11
2016-08-30,Technology,Phones,East,290.898,-67.8762,3,2016,8
2016-08-30,Office Supplies,Storage,East,54.224,3.389,2,2016,8
2016-08-30,Furniture,Chairs,East,786.744,-258.5016,4,2016,8
2016-08-30,Office Supplies,Labels,East,100.24,33.831,10,2016,8
2016-08-30,Office Supplies,Binders,East,37.764,-27.6936,6,2016,8
2016-04-25,Technology,Phones,East,82.8,-20.7,2,2016,4
2016-04-25,Office Supplies,Binders,East,20.724,-13.816,2,2016,4
2016-04-25,Office Supplies,Binders,East,4.896,-3.4272,3,2016,4
2015-09-01,Office Supplies,Binders,West,4.752,1.6038,1,2015,9
2015-09-01,Technology,Copiers,West,959.984,335.9944,2,2015,9
2015-09-01,Office Supplies,Binders,West,14.368,4.49,4,2015,9
2014-07-12,Office Supplies,Binders,West,7.712,2.7956,2,2014,7
2014-07-12,Furniture,Tables,West,698.352,-17.4588,3,2014,7
2015-06-22,Office Supplies,Fasteners,West,4.96,2.3312,4,2015,6
2014-04-13,Office Supplies,Art,East,17.856,1.116,4,2014,4
2014-04-13,Office Supplies,Binders,East,509.97,-407.976,10,2014,4
2014-04-13,Office Supplies,Fasteners,East,30.992,10.0724,13,2014,4
2014-04-13,Technology,Phones,East,71.928,8.3916,12,2014,4
2015-12-20,Office Supplies,Storage,Central,88.8,-2.22,4,2015,12
2017-06-15,Technology,Phones,West,47.976,4.7976,3,2017,6
2017-07-08,Office Supplies,Art,East,7.56,3.0996,3,2017,7
2017-07-08,Office Supplies,Paper,East,24.56,11.5432,2,2017,7
2017-07-08,Office Supplies,Art,East,12.96,4.1472,2,2017,7
2016-09-01,Technology,Accessories,East,6.79,2.3086,1,2016,9
2016-09-01,Office Supplies,Paper,East,24.56,11.5432,2,2016,9
2016-09-01,Office Supplies,Binders,East,3.048,1.0668,1,2016,9
2016-09-01,Office Supplies,Paper,East,49.12,23.0864,4,2016,9
2016-09-01,Office Supplies,Binders,East,4355.168,1415.4296,4,2016,9
2016-04-08,Furniture,Bookcases,East,388.704,-4.8588,6,2016,4
2016-04-08,Office Supplies,Envelopes,East,8.26,3.7996,2,2016,4
2016-04-08,Office Supplies,Art,East,17.04,6.9864,4,2016,4
2016-04-08,Office Supplies,Paper,East,34.4,15.824,5,2016,4
2016-04-23,Office Supplies,Paper,South,36.24,11.325,5,2016,4
2017-03-08,Office Supplies,Appliances,South,647.84,168.4384,8,2017,3
2017-03-08,Office Supplies,Labels,South,20.7,9.936,2,2017,3
2017-09-25,Office Supplies,Labels,East,20.7,9.936,2,2017,9
2017-09-25,Furniture,Chairs,East,488.646,86.8704,3,2017,9
2017-09-25,Office Supplies,Art,East,5.56,1.4456,2,2017,9
2017-09-25,Furniture,Furnishings,East,47.12,20.7328,8,2017,9
2014-09-24,Office Supplies,Storage,West,211.96,8.4784,4,2014,9
2016-10-21,Office Supplies,Binders,East,23.2,10.44,4,2016,10
2016-10-21,Office Supplies,Supplies,East,7.36,0.1472,2,2016,10
2016-10-21,Office Supplies,Storage,East,104.79,29.3412,7,2016,10
2016-10-21,Furniture,Bookcases,East,1043.92,271.4192,4,2016,10
2017-05-29,Office Supplies,Paper,Central,25.92,9.396,5,2017,5
2017-05-29,Office Supplies,Storage,Central,53.424,4.6746,3,2017,5
2014-07-23,Office Supplies,Binders,West,8.16,-5.712,5,2014,7
2014-07-23,Technology,Accessories,West,1023.936,179.1888,8,2014,7
2014-07-23,Office Supplies,Art,West,9.24,0.924,1,2014,7
2014-07-23,Technology,Accessories,West,479.04,-29.94,10,2014,7
2016-09-28,Office Supplies,Paper,Central,99.136,30.98,4,2016,9
2017-08-27,Furniture,Tables,East,1488.424,-297.6848,7,2017,8
2015-04-28,Office Supplies,Appliances,Central,8.652,-20.3322,3,2015,4
2015-04-28,Office Supplies,Storage,Central,23.832,2.6811,3,2015,4
2015-04-28,Office Supplies,Binders,Central,12.176,-18.8728,4,2015,4
2016-10-28,Office Supplies,Paper,West,50.96,25.48,7,2016,10
2016-10-28,Office Supplies,Binders,West,49.536,17.3376,3,2016,10
2015-06-26,Technology,Accessories,Central,41.9,8.799,2,2015,6
2015-11-27,Furniture,Tables,South,375.4575,-157.0095,3,2015,11
2015-11-27,Technology,Accessories,South,83.976,-1.0497,3,2015,11
2015-12-03,Technology,Machines,East,482.34,-337.638,4,2015,12
2015-12-03,Furniture,Furnishings,East,2.96,0.777,1,2015,12
2014-11-24,Office Supplies,Art,East,2.624,0.4264,1,2014,11
2017-12-11,Office Supplies,Binders,East,23.36,7.884,4,2017,12
